Игра;GB;Путь
Left 4 Dead 2;17.ноя;D:\Program Files (x86)\Steam\steamapps\common\Left 4 Dead 2
MarvelRivals;83.99;D:\Program Files (x86)\Steam\steamapps\common\MarvelRivals
Max Payne 3;32.74;D:\Program Files (x86)\Steam\steamapps\common\Max Payne 3
Metro Exodus;77.95;D:\Program Files (x86)\Steam\steamapps\common\Metro Exodus
Need for Speed Heat;0.23;D:\Program Files (x86)\Steam\steamapps\common\Need for Speed Heat
Path of Exile 2;139.71;D:\Program Files (x86)\Steam\steamapps\common\Path of Exile 2
PAYDAY 2;34.42;D:\Program Files (x86)\Steam\steamapps\common\PAYDAY 2
Phasmophobia;41.29;D:\Program Files (x86)\Steam\steamapps\common\Phasmophobia
Prime World Nova Playtest;фев.97;D:\Program Files (x86)\Steam\steamapps\common\Prime World Nova Playtest
PUBG;48.51;D:\Program Files (x86)\Steam\steamapps\common\PUBG
Ready Or Not;48.33;D:\Program Files (x86)\Steam\steamapps\common\Ready Or Not
Red Dead Redemption 2;119.47;D:\Program Files (x86)\Steam\steamapps\common\Red Dead Redemption 2
Rematch;окт.58;D:\Program Files (x86)\Steam\steamapps\common\Rematch
REPO;янв.39;D:\Program Files (x86)\Steam\steamapps\common\REPO
rocketleague;39.85;D:\Program Files (x86)\Steam\steamapps\common\rocketleague
Rust;51.06;D:\Program Files (x86)\Steam\steamapps\common\Rust
S.T.A.L.K.E.R. 2 Heart of Chornobyl;192.92;D:\Program Files (x86)\Steam\steamapps\common\S.T.A.L.K.E.R. 2 Heart of Chornobyl
sandstorm;40.38;D:\Program Files (x86)\Steam\steamapps\common\sandstorm
Sea of Thieves;134.10;D:\Program Files (x86)\Steam\steamapps\common\Sea of Thieves
Skyrim Special Edition;14.99;D:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition
Space Marine 2;89.67;D:\Program Files (x86)\Steam\steamapps\common\Space Marine 2
Squad;65.61;D:\Program Files (x86)\Steam\steamapps\common\Squad
The Finals;89.85;D:\Program Files (x86)\Steam\steamapps\common\The Finals
The Forest;май.54;D:\Program Files (x86)\Steam\steamapps\common\The Forest
The Sims 4;28.13;D:\Program Files (x86)\Steam\steamapps\common\The Sims 4
The Witcher 3;61.38;D:\Program Files (x86)\Steam\steamapps\common\The Witcher 3
Tom Clancy's Rainbow Six Siege;56.39;D:\Program Files (x86)\Steam\steamapps\common\Tom Clancy's Rainbow Six Siege
Valheim;янв.48;D:\Program Files (x86)\Steam\steamapps\common\Valheim
War Thunder;86.08;D:\Program Files (x86)\Steam\steamapps\common\War Thunder
World of Tanks Blitz;20.июн;D:\Program Files (x86)\Steam\steamapps\common\World of Tanks Blitz
Zenimax Online;124.78;D:\Program Files (x86)\Steam\steamapps\common\Zenimax Online
Tom Clancy's Rainbow Six Siege RUS;62.09;D:\Program Files (x86)\Ubisoft\Ubisoft Game Launcher\games\Tom Clancy's Rainbow Six Siege RUS
